iter	F1	Logloss
0	0.7702813741	0.6418548529
1	0.7596572083	0.5858924785
2	0.7687791178	0.5399629104
3	0.7711228858	0.496939384
4	0.7910684407	0.4578050265
5	0.7932345918	0.4301427361
6	0.7900137766	0.4060498522
7	0.7908102358	0.3841931014
8	0.7928954586	0.3681250859
9	0.7890761033	0.351638013
10	0.7883343905	0.3424122079
11	0.7877511889	0.3240945212
12	0.7960586692	0.3081364717
13	0.7922041543	0.2945601414
14	0.7927899276	0.283396189
15	0.796646132	0.2718209179
16	0.790089188	0.2636050822
17	0.7978236626	0.2553281715
18	0.7957318361	0.248236998
19	0.8022597815	0.2412986275
20	0.8034458973	0.2351391724
21	0.8040402715	0.2294183771
22	0.8070253822	0.2247529489
23	0.8076250662	0.2224571281
24	0.8010826628	0.2183424719
25	0.8001824895	0.2154672406
26	0.8022815227	0.2112666714
27	0.8013869164	0.2088146466
28	0.8040865557	0.2060607893
29	0.8034839763	0.2024324853
30	0.8118479387	0.199793335
31	0.8112419695	0.198055547
32	0.8118479387	0.1955908455
33	0.8150978049	0.1929077171
34	0.8183299414	0.1911432226
35	0.8118479387	0.1891607211
36	0.8171158874	0.18703673
37	0.8183299414	0.1842371857
38	0.8163139849	0.1819144456
39	0.8259621412	0.1796079965
40	0.8265737663	0.1778411563
41	0.8221536008	0.1760126668
42	0.8273117986	0.1740796477
43	0.8342296872	0.173202433
44	0.8348415375	0.1718531383
45	0.8373584295	0.1707062898
46	0.8373584295	0.1695304981
47	0.8416975681	0.1679775434
48	0.844794173	0.1667473182
49	0.8521389615	0.1654877466
50	0.8551686367	0.1648307342
51	0.856399842	0.1632895534
52	0.856399842	0.1622230128
53	0.856399842	0.1610194729
54	0.856399842	0.1602375038
55	0.8557837965	0.159337657
56	0.8557837965	0.1580536073
57	0.8576345977	0.1572999356
58	0.8576345977	0.156758703
59	0.8582533116	0.1555539946
60	0.8582533116	0.154652096
61	0.8594934216	0.1536558577
62	0.8625109043	0.1527791544
63	0.8648909095	0.1515426945
64	0.8655124622	0.1505728044
65	0.868498221	0.149958146
66	0.868498221	0.1486114583
67	0.868498221	0.1478048422
68	0.8697450132	0.1471979201
69	0.86912117	0.1464889547
70	0.8697450132	0.1459898198
71	0.8678761644	0.1452993605
72	0.8678761644	0.1452528284
73	0.8678761644	0.144754795
74	0.8672549982	0.1442654472
75	0.8678761644	0.1439135153
76	0.8702241006	0.1432733888
77	0.8761158541	0.1425475559
78	0.8767384546	0.1418747466
79	0.8767384546	0.1413737611
80	0.8767384546	0.1407320383
81	0.8767384546	0.1400868421
82	0.8773619406	0.1394300724
83	0.8767384546	0.1387191575
84	0.8767384546	0.1386773508
85	0.8767384546	0.1378420562
86	0.8767384546	0.1376821304
87	0.8767384546	0.1367961143
88	0.8796617986	0.1364797221
89	0.8796617986	0.1359605092
90	0.8831943381	0.1354067739
91	0.8809105558	0.1348944554
92	0.8838195945	0.1344654627
93	0.8844457368	0.13413175
94	0.8844457368	0.1336459295
95	0.8844457368	0.1326987799
96	0.8844457368	0.132111993
97	0.8844457368	0.1318454663
98	0.8844457368	0.1317001499
99	0.8844457368	0.1315805065
100	0.8863294982	0.1310921011
101	0.8863294982	0.1305791553
102	0.8863294982	0.1300475211
103	0.8863294982	0.1299878568
104	0.8863294982	0.1296025783
105	0.8863294982	0.1289678956
106	0.8863294982	0.1289634355
107	0.8863294982	0.1282255795
108	0.8882213011	0.1276762904
109	0.888853698	0.1270740227
110	0.8882213011	0.1265682851
111	0.8882213011	0.1260050454
112	0.8882213011	0.1254525428
113	0.8882213011	0.1251073921
114	0.8882213011	0.1246236886
115	0.8882213011	0.1243790889
116	0.8882213011	0.124140413
117	0.8882213011	0.1238548751
118	0.8875898035	0.123432203
119	0.8875898035	0.1227794202
120	0.8869592032	0.1224325806
121	0.8875898035	0.1220888559
122	0.8875898035	0.1215746545
123	0.8875898035	0.1210951358
124	0.8875898035	0.1208400832
125	0.8904862537	0.1204136507
126	0.8904862537	0.1200219713
127	0.8911181613	0.1196852344
128	0.8917509664	0.1193390654
129	0.8917509664	0.1189062861
130	0.8911181613	0.1183978062
