iter	Passed	Remaining
0	11	11465
1	25	12618
2	35	11835
3	50	12616
4	57	11495
5	64	10620
6	70	10048
7	82	10190
8	102	11285
9	115	11462
10	122	11011
11	132	10885
12	140	10634
13	147	10373
14	157	10360
15	164	10117
16	174	10114
17	181	9914
18	188	9756
19	195	9568
20	202	9436
21	209	9313
22	217	9221
23	224	9111
24	230	9000
25	237	8901
26	243	8778
27	250	8678
28	256	8580
29	262	8483
30	269	8417
31	275	8333
32	282	8268
33	292	8301
34	300	8289
35	306	8216
36	314	8196
37	321	8128
38	327	8068
39	334	8034
40	341	7978
41	347	7937
42	354	7881
43	360	7824
44	366	7784
45	373	7737
46	380	7709
47	386	7672
48	392	7624
49	399	7589
50	405	7546
51	412	7520
52	419	7490
53	425	7459
54	432	7423
55	438	7384
56	444	7359
57	451	7331
58	458	7312
59	465	7285
60	471	7251
61	478	7233
62	484	7202
63	491	7189
64	497	7161
65	503	7130
66	510	7108
67	516	7081
68	523	7067
69	530	7046
70	536	7021
71	543	7002
72	546	6937
73	552	6915
74	559	6896
75	565	6872
76	572	6859
77	578	6836
78	584	6817
79	591	6803
80	597	6779
81	604	6764
82	610	6742
83	617	6730
84	621	6684
85	627	6670
86	632	6638
87	638	6622
88	645	6604
89	651	6590
90	658	6576
91	664	6563
92	671	6550
93	677	6533
94	684	6519
95	690	6501
96	697	6489
97	704	6482
98	709	6455
99	713	6419
100	719	6406
101	726	6393
102	733	6385
103	736	6345
104	742	6332
105	749	6323
106	752	6283
107	759	6269
108	765	6257
109	771	6245
110	778	6231
111	784	6223
112	790	6207
113	797	6198
114	807	6215
115	816	6221
116	825	6228
117	833	6228
118	840	6221
119	848	6218
120	854	6207
121	861	6196
122	867	6187
123	873	6174
124	881	6169
125	888	6159
126	894	6152
127	900	6137
128	907	6124
129	920	6160
130	927	6154
131	934	6147
132	944	6157
133	971	6279
134	979	6274
135	985	6262
136	990	6236
137	996	6222
138	1002	6210
139	1105	6793
140	1118	6812
141	1127	6814
142	1137	6816
143	1151	6842
144	1158	6830
145	1164	6813
146	1173	6806
147	1183	6815
148	1191	6802
149	1202	6815
150	1209	6802
151	1214	6775
152	1221	6760
153	1228	6748
154	1235	6736
155	1243	6727
156	1249	6707
157	1255	6691
158	1261	6671
159	1267	6655
160	1273	6639
161	1280	6621
162	1286	6604
163	1291	6585
164	1297	6568
165	1304	6554
166	1313	6551
167	1322	6550
168	1328	6531
169	1336	6526
170	1340	6500
171	1348	6490
172	1354	6475
173	1360	6460
174	1367	6445
175	1373	6428
176	1379	6413
177	1385	6395
178	1390	6379
179	1398	6369
180	1404	6355
181	1410	6341
182	1413	6311
183	1419	6294
184	1425	6279
185	1431	6265
186	1437	6250
187	1443	6236
188	1450	6224
189	1453	6197
190	1460	6186
191	1467	6177
192	1475	6168
193	1481	6153
194	1487	6139
195	1493	6126
196	1499	6111
197	1505	6097
198	1512	6088
199	1518	6074
200	1525	6062
201	1531	6048
202	1537	6034
203	1543	6021
204	1548	6007
205	1555	5995
206	1561	5983
207	1565	5961
208	1571	5948
209	1577	5935
210	1583	5920
211	1589	5907
212	1595	5895
213	1601	5883
214	1608	5873
215	1614	5860
216	1620	5848
217	1627	5836
218	1632	5823
219	1639	5811
220	1645	5798
221	1650	5785
222	1657	5775
223	1663	5763
224	1670	5753
225	1676	5740
226	1681	5727
227	1689	5722
228	1695	5709
229	1702	5698
230	1708	5686
231	1714	5674
232	1720	5664
233	1729	5661
234	1735	5650
235	1741	5638
236	1747	5625
237	1753	5615
238	1760	5604
239	1764	5586
240	1769	5574
241	1775	5562
242	1782	5551
243	1788	5541
244	1794	5530
245	1800	5519
246	1806	5507
247	1812	5496
248	1818	5485
249	1830	5491
250	1836	5479
251	1842	5468
252	1850	5462
253	1856	5451
254	1863	5443
255	1869	5432
256	1874	5420
257	1881	5410
258	1887	5400
259	1894	5390
260	1900	5381
261	1906	5370
262	1913	5362
263	1919	5350
264	1925	5340
265	1931	5330
266	1937	5320
267	1944	5310
268	1949	5298
269	1956	5288
270	1963	5283
271	1970	5274
272	1977	5265
273	1983	5254
274	1990	5246
275	1995	5234
276	2001	5224
277	2007	5214
278	2014	5205
279	2022	5201
280	2031	5196
281	2045	5207
282	2057	5212
283	2068	5214
284	2076	5208
285	2082	5198
286	2099	5215
287	2107	5211
288	2150	5290
289	2248	5505
290	2257	5500
291	2267	5498
292	2280	5502
293	2287	5493
294	2293	5482
295	2299	5469
296	2306	5459
297	2313	5449
298	2319	5438
299	2325	5426
300	2331	5414
301	2338	5405
302	2348	5402
303	2356	5395
304	2362	5383
305	2370	5376
306	2376	5365
307	2383	5355
308	2389	5342
309	2395	5331
310	2402	5322
311	2408	5310
312	2414	5300
313	2421	5289
314	2427	5278
315	2433	5268
316	2439	5257
317	2445	5245
318	2452	5234
319	2457	5222
320	2464	5212
321	2470	5202
322	2476	5191
323	2483	5182
324	2490	5171
325	2496	5161
326	2502	5149
327	2508	5138
328	2515	5129
329	2521	5119
330	2528	5110
331	2534	5098
332	2540	5087
333	2547	5079
334	2553	5069
335	2560	5059
336	2565	5047
337	2571	5036
338	2578	5028
339	2585	5018
340	2591	5008
341	2597	4997
342	2603	4986
343	2609	4977
344	2616	4967
345	2623	4958
346	2629	4947
347	2635	4937
348	2641	4927
349	2648	4917
350	2655	4910
351	2661	4899
352	2668	4891
353	2674	4881
354	2680	4870
355	2686	4860
356	2693	4851
357	2700	4843
358	2706	4833
359	2712	4822
360	2718	4812
361	2725	4802
362	2731	4792
363	2737	4783
364	2745	4775
365	2751	4765
366	2757	4756
367	2764	4747
368	2770	4738
369	2777	4728
370	2783	4718
371	2789	4708
372	2795	4699
373	2802	4691
374	2809	4682
375	2815	4672
376	2821	4663
377	2827	4652
378	2834	4643
379	2840	4634
380	2846	4625
381	2856	4622
382	2862	4611
383	2871	4605
384	2877	4596
385	2885	4589
386	2891	4580
387	2897	4570
388	2904	4562
389	2910	4552
390	2917	4544
391	2923	4534
392	2929	4525
393	2935	4515
394	2942	4506
395	2948	4497
396	2955	4488
397	2961	4479
398	2967	4469
399	2973	4459
400	2980	4451
401	2986	4443
402	2992	4433
403	3000	4427
404	3010	4422
405	3017	4414
406	3023	4404
407	3030	4396
408	3035	4386
409	3042	4377
410	3049	4370
411	3055	4360
412	3062	4352
413	3068	4343
414	3075	4335
415	3087	4334
416	3096	4329
417	3104	4323
418	3140	4354
419	3146	4345
420	3153	4337
421	3165	4336
422	3174	4329
423	3180	4320
424	3190	4315
425	3196	4307
426	3202	4298
427	3209	4289
428	3215	4279
429	3227	4278
430	3234	4269
431	3241	4262
432	3248	4254
433	3255	4245
434	3263	4239
435	3351	4335
436	3418	4403
437	3427	4397
438	3437	4392
439	3451	4393
440	3461	4388
441	3468	4378
442	3473	4367
443	3482	4360
444	3489	4352
445	3496	4342
446	3502	4332
447	3507	4322
448	3513	4311
449	3520	4302
450	3525	4292
451	3531	4281
452	3537	4271
453	3543	4261
454	3549	4251
455	3555	4241
456	3560	4231
457	3567	4222
458	3574	4213
459	3580	4203
460	3586	4193
461	3592	4182
462	3598	4173
463	3604	4163
464	3609	4153
465	3616	4144
466	3622	4133
467	3628	4124
468	3634	4114
469	3640	4105
470	3648	4097
471	3654	4087
472	3660	4077
473	3665	4067
474	3671	4057
475	3678	4049
476	3684	4039
477	3690	4030
478	3696	4021
479	3702	4011
480	3709	4002
481	3715	3992
482	3721	3983
483	3727	3973
484	3733	3964
485	3739	3954
486	3746	3946
487	3752	3936
488	3758	3927
489	3764	3918
490	3770	3908
491	3777	3899
492	3783	3890
493	3789	3881
494	3795	3872
495	3801	3862
496	3807	3853
497	3813	3844
498	3819	3834
499	3825	3825
500	3831	3816
501	3838	3807
502	3844	3798
503	3850	3788
504	3856	3779
505	3861	3770
506	3867	3760
507	3874	3752
508	3884	3747
509	3890	3737
510	3896	3728
511	3903	3720
512	3909	3711
513	3916	3703
514	3924	3695
515	3930	3686
516	3939	3680
517	3947	3672
518	3956	3666
519	3963	3658
520	3975	3655
521	3983	3648
522	3989	3638
523	3995	3629
524	4001	3620
525	4007	3611
526	4013	3602
527	4019	3593
528	4025	3584
529	4032	3576
530	4039	3567
531	4045	3558
532	4050	3549
533	4056	3540
534	4063	3531
535	4068	3522
536	4074	3513
537	4081	3504
538	4087	3495
539	4093	3486
540	4099	3477
541	4104	3468
542	4111	3460
543	4118	3451
544	4123	3442
545	4130	3434
546	4135	3425
547	4141	3416
548	4147	3407
549	4154	3398
550	4164	3393
551	4174	3387
552	4181	3380
553	4192	3375
554	4199	3367
555	4206	3359
556	4214	3351
557	4220	3342
558	4226	3334
559	4232	3325
560	4239	3317
561	4245	3308
562	4251	3299
563	4258	3291
564	4264	3282
565	4270	3274
566	4276	3265
567	4282	3256
568	4288	3248
569	4294	3239
570	4300	3230
571	4306	3222
572	4311	3213
573	4318	3205
574	4324	3196
575	4331	3188
576	4337	3180
577	4343	3171
578	4350	3163
579	4356	3154
580	4362	3146
581	4368	3137
582	4374	3129
583	4380	3120
584	4389	3113
585	4398	3107
586	4404	3099
587	4419	3096
588	4426	3088
589	4433	3080
590	4439	3072
591	4447	3064
592	4453	3056
593	4485	3065
594	4616	3142
595	4625	3135
596	4635	3128
597	4643	3121
598	4659	3119
599	4666	3111
600	4672	3102
601	4679	3093
602	4685	3084
603	4691	3076
604	4698	3067
605	4704	3058
606	4711	3050
607	4717	3041
608	4723	3032
609	4729	3023
610	4735	3014
611	4741	3006
612	4748	2997
613	4754	2989
614	4761	2980
615	4767	2971
616	4773	2963
617	4779	2954
618	4785	2945
619	4791	2936
620	4797	2928
621	4804	2919
622	4810	2911
623	4816	2902
624	4822	2893
625	4828	2884
626	4834	2876
627	4841	2867
628	4848	2859
629	4854	2851
630	4860	2842
631	4869	2835
632	4876	2827
633	4882	2818
634	4889	2810
635	4895	2801
636	4901	2793
637	4907	2784
638	4914	2776
639	4924	2769
640	4930	2761
641	4942	2756
642	4952	2749
643	4959	2741
644	4965	2733
645	4972	2725
646	4978	2716
647	4985	2707
648	4991	2699
649	4998	2691
650	5004	2683
651	5011	2674
652	5019	2667
653	5025	2658
654	5030	2649
655	5037	2641
656	5043	2632
657	5049	2624
658	5055	2616
659	5062	2607
660	5068	2599
661	5074	2590
662	5080	2582
663	5086	2574
664	5093	2565
665	5099	2557
666	5105	2548
667	5111	2540
668	5118	2532
669	5124	2523
670	5131	2515
671	5137	2507
672	5143	2499
673	5150	2490
674	5155	2482
675	5162	2474
676	5168	2466
677	5174	2457
678	5181	2449
679	5187	2441
680	5197	2434
681	5204	2426
682	5217	2421
683	5225	2413
684	5235	2407
685	5243	2399
686	5253	2393
687	5260	2385
688	5266	2377
689	5272	2368
690	5278	2360
691	5284	2352
692	5291	2344
693	5297	2335
694	5304	2327
695	5310	2319
696	5316	2311
697	5322	2303
698	5329	2294
699	5335	2286
700	5342	2278
701	5348	2270
702	5354	2262
703	5360	2253
704	5366	2245
705	5372	2237
706	5378	2229
707	5384	2220
708	5391	2212
709	5397	2204
710	5403	2196
711	5409	2188
712	5415	2180
713	5427	2173
714	5433	2165
715	5441	2158
716	5448	2150
717	5455	2142
718	5461	2134
719	5468	2126
720	5474	2118
721	5480	2110
722	5487	2102
723	5494	2094
724	5500	2086
725	5507	2078
726	5513	2070
727	5520	2062
728	5526	2054
729	5533	2046
730	5539	2038
731	5545	2030
732	5552	2022
733	5557	2014
734	5564	2006
735	5571	1998
736	5577	1990
737	5590	1984
738	5597	1976
739	5604	1969
740	5611	1961
741	5653	1965
742	5786	2001
743	5796	1994
744	5807	1987
745	5821	1981
746	5834	1976
747	5847	1970
748	5857	1962
749	5867	1955
750	5877	1948
751	5889	1942
752	5897	1934
753	5922	1932
754	5933	1925
755	5939	1916
756	5945	1908
757	5951	1899
758	5961	1893
759	5968	1884
760	5974	1876
761	5980	1868
762	5987	1859
763	5994	1851
764	6001	1843
765	6007	1835
766	6013	1826
767	6019	1818
768	6026	1810
769	6031	1801
770	6038	1793
771	6044	1785
772	6051	1777
773	6058	1768
774	6064	1760
775	6070	1752
776	6076	1743
777	6082	1735
778	6089	1727
779	6095	1719
780	6102	1711
781	6108	1702
782	6114	1694
783	6122	1686
784	6130	1679
785	6140	1671
786	6149	1664
787	6160	1657
788	6166	1649
789	6178	1642
790	6191	1635
791	6200	1628
792	6207	1620
793	6214	1612
794	6221	1604
795	6227	1596
796	6234	1587
797	6244	1580
798	6253	1573
799	6260	1565
800	6267	1557
801	6279	1550
802	6290	1543
803	6297	1535
804	6304	1527
805	6317	1520
806	6323	1512
807	6330	1504
808	6336	1496
809	6343	1487
810	6350	1479
811	6356	1471
812	6362	1463
813	6368	1455
814	6376	1447
815	6383	1439
816	6389	1431
817	6395	1422
818	6401	1414
819	6407	1406
820	6414	1398
821	6422	1390
822	6429	1382
823	6435	1374
824	6441	1366
825	6448	1358
826	6454	1350
827	6462	1342
828	6471	1334
829	6483	1327
830	6489	1319
831	6495	1311
832	6500	1303
833	6506	1295
834	6513	1287
835	6519	1278
836	6525	1270
837	6531	1262
838	6538	1254
839	6544	1246
840	6550	1238
841	6556	1230
842	6562	1222
843	6568	1214
844	6574	1205
845	6580	1197
846	6586	1189
847	6592	1181
848	6598	1173
849	6605	1165
850	6611	1157
851	6618	1149
852	6623	1141
853	6629	1133
854	6635	1125
855	6641	1117
856	6647	1109
857	6654	1101
858	6660	1093
859	6666	1085
860	6672	1077
861	6678	1069
862	6684	1061
863	6690	1053
864	6697	1045
865	6703	1037
866	6709	1029
867	6715	1021
868	6722	1013
869	6728	1005
870	6734	997
871	6740	989
872	6746	981
873	6752	973
874	6759	965
875	6787	960
876	6802	953
