iter	F1	Logloss
0	0.7799404762	0.6336612664
1	0.7707277805	0.5817831088
2	0.7779671447	0.5373488848
3	0.7757999126	0.5038749414
4	0.7780063609	0.4817199479
5	0.7786935098	0.4454447561
6	0.7803708234	0.4244571669
7	0.7764682757	0.4008026191
8	0.7814930527	0.3804715373
9	0.7854464018	0.3584881479
10	0.7812366545	0.3390233167
11	0.784488716	0.3228087683
12	0.7798214856	0.3090132942
13	0.7754776109	0.2957864587
14	0.7805487528	0.2857537726
15	0.7790963585	0.2750998045
16	0.7812876498	0.2681937676
17	0.7786514311	0.2630990472
18	0.7768862839	0.2563412067
19	0.7796830061	0.249844936
20	0.7836361155	0.2433617842
21	0.7836361155	0.2375509373
22	0.7936223244	0.2317760623
23	0.7903118571	0.2275714536
24	0.7954007689	0.2224364484
25	0.7971872019	0.2212571401
26	0.7971872019	0.2171696491
27	0.799291076	0.2152987454
28	0.7986956599	0.2121557616
29	0.8031659164	0.208738118
30	0.8019725753	0.205867701
31	0.8031659164	0.2045226248
32	0.8004845755	0.2020052649
33	0.8037639198	0.2003230172
34	0.8037639198	0.1985735879
35	0.8070253822	0.1970613553
36	0.8070253822	0.1953860408
37	0.8064265881	0.1933548773
38	0.805828682	0.1919938584
39	0.8052316618	0.1899304944
40	0.8025688023	0.1885718081
41	0.8070253822	0.1879158551
42	0.8122954818	0.1864041429
43	0.8122954818	0.1850842142
44	0.8134952434	0.1837246574
45	0.8134952434	0.1822662992
46	0.8140964542	0.1812217596
47	0.8134952434	0.1799647694
48	0.8128949199	0.1790335636
49	0.8122954818	0.1782841402
50	0.8116969271	0.1773941575
51	0.8116969271	0.1764064406
52	0.8116969271	0.1754573456
53	0.8137074369	0.1746488089
54	0.8188705202	0.1740517947
55	0.8188705202	0.1731185136
56	0.8188705202	0.1723088438
57	0.822022843	0.1716405965
58	0.822022843	0.1715525474
59	0.8251583841	0.1711416088
60	0.8275580525	0.1702543763
61	0.8275580525	0.1696900888
62	0.8269568279	0.1691330993
63	0.8263564762	0.1686284912
64	0.8262266967	0.167746154
65	0.8287631283	0.1673556869
66	0.8287631283	0.1671876905
67	0.8324905117	0.1665603948
68	0.8324905117	0.1663390677
69	0.8318859987	0.1657725255
70	0.8318859987	0.1652062233
71	0.8306796026	0.1647374459
72	0.8324905117	0.164005363
73	0.8330959039	0.1632979288
74	0.8330959039	0.1632933517
75	0.8330959039	0.1629339897
76	0.8324905117	0.1624997192
77	0.8392944873	0.1617921876
78	0.8392944873	0.1610249208
79	0.842977296	0.1604803758
80	0.8423691493	0.1597121944
81	0.8392944873	0.1590176648
82	0.8405104425	0.158293431
83	0.8411197422	0.1580346029
84	0.841729926	0.1579712399
85	0.8441962276	0.1575117886
86	0.8435863215	0.1570336085
87	0.8435863215	0.1565671779
88	0.8441962276	0.1559649353
89	0.8448196994	0.1555855049
90	0.8466459244	0.1551482225
91	0.845427565	0.1546382269
92	0.845427565	0.1546364011
93	0.8466459244	0.1541737366
94	0.8460363061	0.1537725911
95	0.8460363061	0.1534037877
96	0.845427565	0.1529842513
97	0.8460363061	0.1526423349
98	0.8460363061	0.1522552498
99	0.8460363061	0.1518692143
100	0.845427565	0.1515271258
101	0.845427565	0.1515232382
102	0.845427565	0.1515201077
103	0.8484698629	0.151206211
104	0.8460363061	0.1507672873
105	0.8490791836	0.1499845279
106	0.8490791836	0.149975239
107	0.8533284521	0.1495034257
108	0.8533284521	0.1491752302
109	0.8533284521	0.1486658484
110	0.8527168159	0.1483718529
111	0.8527168159	0.1480108992
112	0.8533284521	0.1475059448
113	0.8533284521	0.146861421
114	0.8533284521	0.1468524197
115	0.8533284521	0.1464998733
116	0.8533284521	0.1461823382
117	0.8527168159	0.1456703164
118	0.8527168159	0.1451402198
119	0.8527168159	0.144977082
120	0.8527168159	0.1448805244
121	0.8527168159	0.1444922671
122	0.8527168159	0.144340902
123	0.8527168159	0.1442445381
124	0.8527168159	0.1439109273
125	0.8533284521	0.1432878689
126	0.8533284521	0.1429740673
127	0.8551686367	0.1422974154
128	0.8551686367	0.1421033356
129	0.8539409664	0.1420779078
130	0.8551686367	0.1417635845
131	0.8533284521	0.1417291703
132	0.8539409664	0.1414192664
133	0.8539409664	0.1412505139
134	0.8539409664	0.1409627529
135	0.8575675416	0.1403829026
136	0.8599504418	0.1399543963
137	0.8599504418	0.1397695687
138	0.8629316079	0.1392054953
139	0.8629316079	0.1388680231
140	0.8611802597	0.1384957284
141	0.8665127125	0.1381681761
142	0.8688474098	0.1378310179
143	0.8688474098	0.1377405894
144	0.8700802407	0.1374431319
145	0.8713165752	0.1370340219
146	0.8713165752	0.1367707608
147	0.8713165752	0.1365266889
148	0.8713165752	0.1360203498
149	0.8713165752	0.1357766406
150	0.8719360609	0.1355981406
151	0.868364441	0.135228175
152	0.868364441	0.1350025087
153	0.8713165752	0.134911281
154	0.874873302	0.1344519206
155	0.8754941372	0.1336842968
156	0.8754941372	0.1336830209
157	0.8754941372	0.1334230013
158	0.8754941372	0.1330785949
159	0.8754941372	0.1329405912
160	0.8754941372	0.1327236969
161	0.8754941372	0.1326610708
162	0.8754941372	0.1324247155
163	0.8754941372	0.1321913231
164	0.8767384546	0.131644985
165	0.8796617986	0.1314190004
166	0.8796617986	0.1312025144
167	0.8825699658	0.1308335194
168	0.8813238657	0.1306752825
169	0.8825699658	0.1306409692
170	0.8831943381	0.1302154618
171	0.8831943381	0.1299075737
172	0.8831943381	0.1298088046
173	0.8825699658	0.1293928359
174	0.8825699658	0.1290094823
175	0.8825699658	0.1287335855
176	0.8831943381	0.1284734178
177	0.8831943381	0.1280876571
178	0.8831943381	0.1278520153
179	0.8831943381	0.1276233992
180	0.8831943381	0.1272974799
181	0.8831943381	0.1271246537
182	0.8831943381	0.1268611827
183	0.8831943381	0.1264502115
184	0.8831943381	0.126134605
185	0.8831943381	0.1258501664
186	0.8831943381	0.1254392388
187	0.8831943381	0.1253049003
188	0.88796756	0.1247353977
189	0.8885958967	0.1244762977
190	0.8873401112	0.1241487428
191	0.88796756	0.1238018724
192	0.88796756	0.1235338242
193	0.88796756	0.1232452892
194	0.88796756	0.1231076195
195	0.88796756	0.1226199947
196	0.8873401112	0.1223868696
197	0.8867135486	0.1221720656
198	0.8867135486	0.121954961
199	0.8863294982	0.1216642803
200	0.8904862537	0.12122799
201	0.8911181613	0.1211128055
202	0.8939999646	0.1208477832
203	0.8917509664	0.1204725753
204	0.8959022607	0.1200793025
205	0.8952672631	0.1196626536
206	0.8959022607	0.1193698365
207	0.8965381596	0.1189818407
208	0.8978126696	0.1187214024
209	0.8978126696	0.1184470647
210	0.8978126696	0.1179486674
211	0.9006818027	0.1176985912
212	0.9019606835	0.1174118991
213	0.9019606835	0.1170775376
214	0.9019606835	0.116629746
215	0.9013207894	0.1163828982
216	0.9019606835	0.1161059331
217	0.9019606835	0.115715792
218	0.9019606835	0.1152822837
219	0.9026014867	0.115029577
220	0.9019606835	0.1147954857
221	0.9019606835	0.1146045093
222	0.9026014867	0.1143233609
223	0.905456794	0.1140507683
224	0.905456794	0.1136607677
225	0.9067418419	0.1134497628
226	0.9067418419	0.1132060409
227	0.9060988623	0.1128627983
228	0.9073857346	0.1124905217
229	0.9073857346	0.1120969702
230	0.9073857346	0.1115754232
231	0.9073857346	0.1112197018
232	0.9073857346	0.1110384575
233	0.9073857346	0.1107607696
234	0.9108723848	0.110475118
