iter	F1	Logloss
0	0.7944698807	0.6343530683
1	0.7843652996	0.5903597644
2	0.7975074849	0.5384745547
3	0.8019725753	0.4957290539
4	0.8010771626	0.4568354783
5	0.8016680359	0.4273348676
6	0.8004871597	0.3993947524
7	0.8037223115	0.3772732897
8	0.8063493683	0.3540956953
9	0.8063493683	0.334295264
10	0.8057595414	0.3177031011
11	0.8016680359	0.3067084687
12	0.8010771626	0.291819412
13	0.8046355256	0.2798511802
14	0.800782775	0.2703513962
15	0.8028524013	0.2612183813
16	0.7995964999	0.2528882226
17	0.8019725753	0.2462950396
18	0.7975074849	0.2396451679
19	0.7998873805	0.2355786632
20	0.8016816446	0.2298266838
21	0.7995816326	0.2258948037
22	0.798382622	0.221610943
23	0.798382622	0.2196626071
24	0.7977844641	0.2156480089
25	0.7989816775	0.2110489295
26	0.8043628143	0.2075349598
27	0.8061648647	0.2033777266
28	0.8055632847	0.2009601486
29	0.8067673438	0.1978874256
30	0.8100327408	0.1951748442
31	0.8138852434	0.192078202
32	0.8124548138	0.1892387596
33	0.8144910728	0.1871696559
34	0.8221536008	0.1852249276
35	0.8285319233	0.1834876214
36	0.8348415375	0.1828906642
37	0.8385843173	0.1813467912
38	0.8367468288	0.179710967
39	0.8367468288	0.178237272
40	0.8330086733	0.1766885695
41	0.8404704227	0.1749724895
42	0.8410835478	0.1735695326
43	0.8410835478	0.1723867268
44	0.8404704227	0.1711945148
45	0.8410835478	0.1699397826
46	0.8441795401	0.1688767583
47	0.8404704227	0.1674415948
48	0.8367468288	0.1665011211
49	0.8373584295	0.1656457905
50	0.8423409958	0.1647252197
51	0.841729926	0.163428006
52	0.8478678004	0.1624218425
53	0.8484800619	0.1615715878
54	0.8490932083	0.1604048658
55	0.8490932083	0.1594367774
56	0.8545543606	0.1587489895
57	0.8490932083	0.1580042127
58	0.8509124078	0.1571823977
59	0.8484800619	0.1562946483
60	0.8484800619	0.1555699525
61	0.8539409664	0.15459689
62	0.8509124078	0.1543994585
