iter	Passed	Remaining
0	8	8246
1	16	8254
2	23	7774
3	30	7499
4	37	7443
5	42	7067
6	50	7175
7	55	6935
8	62	6853
9	68	6810
10	75	6747
11	82	6769
12	88	6750
13	95	6730
14	102	6727
15	106	6568
16	114	6614
17	121	6612
18	127	6601
19	134	6605
20	141	6583
21	147	6578
22	154	6562
23	159	6493
24	167	6518
25	173	6510
26	180	6512
27	187	6507
28	194	6506
29	201	6515
30	208	6513
31	215	6512
32	222	6515
33	229	6507
34	236	6521
35	243	6525
36	247	6429
37	253	6424
38	263	6480
39	275	6610
40	283	6625
41	289	6612
42	296	6595
43	304	6608
44	311	6604
45	318	6603
46	324	6584
47	331	6572
48	338	6560
49	344	6549
50	352	6554
51	364	6638
52	370	6617
53	377	6606
54	384	6606
55	391	6594
56	398	6587
57	407	6610
58	414	6614
59	426	6681
60	433	6675
61	440	6659
62	444	6616
63	451	6597
64	458	6601
65	465	6590
66	471	6568
67	498	6836
68	506	6829
69	555	7385
70	681	8918
71	723	9320
72	732	9296
73	735	9200
74	749	9249
75	761	9263
76	773	9272
77	786	9296
78	793	9250
79	799	9189
80	804	9131
81	811	9080
82	821	9075
83	830	9051
84	835	8997
85	842	8953
86	846	8879
87	851	8828
88	858	8785
89	864	8743
90	870	8695
91	876	8647
92	882	8602
93	888	8565
94	894	8525
95	897	8453
96	903	8414
97	909	8370
98	913	8309
99	920	8280
100	926	8249
101	932	8214
102	939	8180
103	944	8139
104	951	8110
105	957	8074
106	963	8042
107	970	8014
108	976	7978
109	979	7927
110	985	7895
111	991	7861
112	1004	7883
113	1010	7852
114	1018	7834
115	1023	7801
116	1029	7771
117	1037	7752
118	1043	7727
119	1049	7699
120	1055	7669
121	1061	7638
122	1068	7619
123	1078	7620
124	1085	7598
125	1092	7574
126	1098	7549
127	1104	7522
128	1109	7494
129	1116	7469
130	1121	7437
131	1127	7412
132	1133	7390
133	1137	7348
134	1142	7322
135	1149	7301
136	1155	7275
137	1161	7253
138	1167	7231
139	1173	7209
140	1180	7190
141	1185	7165
142	1191	7140
143	1197	7120
144	1203	7097
145	1210	7078
146	1215	7054
147	1221	7031
148	1228	7014
149	1234	6994
150	1240	6972
151	1245	6950
152	1251	6927
153	1258	6911
154	1265	6900
155	1272	6883
156	1278	6863
157	1285	6849
158	1291	6832
159	1297	6811
160	1303	6791
161	1308	6766
162	1314	6749
163	1321	6734
164	1327	6719
165	1334	6702
166	1340	6685
167	1344	6656
168	1349	6637
169	1356	6621
170	1362	6604
171	1368	6587
172	1374	6571
173	1380	6555
174	1387	6539
175	1392	6521
176	1398	6504
177	1406	6493
178	1412	6479
179	1419	6468
180	1427	6461
181	1437	6458
182	1445	6454
183	1454	6449
184	1464	6453
185	1470	6437
