iter	Passed	Remaining
0	17	17497
1	26	13224
2	34	11300
3	41	10399
4	49	9829
5	55	9184
6	63	8991
7	71	8832
8	78	8679
9	87	8651
10	95	8589
11	103	8543
12	111	8465
13	119	8417
14	127	8348
15	135	8339
16	143	8291
17	151	8290
18	159	8253
19	167	8231
20	175	8179
21	185	8258
22	193	8211
23	201	8191
24	209	8158
25	217	8147
26	226	8149
27	235	8166
28	243	8146
29	251	8125
30	259	8104
31	267	8094
32	275	8069
33	283	8051
34	291	8025
35	299	8023
36	307	8014
37	315	7996
38	323	7979
39	332	7979
40	340	7970
41	354	8086
42	366	8151
43	374	8139
44	382	8115
45	389	8087
46	398	8084
47	407	8086
48	415	8061
49	423	8043
50	436	8124
51	451	8232
52	460	8229
53	473	8288
54	481	8274
55	494	8341
56	503	8324
57	513	8334
58	522	8339
59	531	8319
60	539	8298
61	547	8278
62	555	8258
63	563	8236
64	571	8221
65	579	8202
66	587	8185
67	595	8164
68	603	8146
69	611	8125
70	619	8110
71	628	8095
72	636	8080
73	643	8057
74	652	8043
75	660	8025
76	668	8009
77	676	7991
78	684	7978
79	692	7961
80	700	7945
81	708	7930
82	716	7916
83	724	7903
84	733	7891
85	740	7871
86	749	7862
87	756	7844
88	765	7831
89	773	7820
90	781	7810
91	789	7792
92	797	7779
93	805	7764
94	814	7757
95	822	7749
96	830	7734
97	838	7718
98	847	7711
99	855	7697
100	863	7689
101	871	7676
102	880	7670
103	888	7653
104	896	7642
105	904	7630
106	913	7625
107	921	7609
108	933	7628
109	944	7644
110	958	7674
111	970	7692
112	1007	7908
113	1017	7904
114	1030	7928
115	1040	7931
116	1055	7963
117	1065	7965
118	1073	7950
119	1077	7905
120	1086	7895
121	1095	7881
122	1103	7864
123	1111	7850
124	1119	7838
125	1127	7823
126	1135	7808
127	1144	7800
128	1153	7787
129	1161	7774
130	1169	7760
131	1178	7752
132	1187	7741
133	1195	7727
134	1204	7715
135	1212	7704
136	1221	7696
137	1230	7684
138	1238	7674
139	1247	7661
140	1255	7651
141	1263	7636
142	1272	7625
143	1280	7613
144	1289	7605
145	1297	7591
146	1306	7581
147	1314	7567
148	1324	7564
149	1340	7595
150	1349	7586
151	1357	7574
152	1366	7563
153	1374	7548
154	1382	7537
155	1390	7525
156	1399	7514
157	1407	7500
158	1415	7488
159	1424	7476
160	1432	7465
161	1440	7452
162	1448	7440
163	1465	7470
164	1475	7467
165	1490	7486
166	1522	7591
167	1535	7603
168	1546	7606
169	1555	7594
170	1564	7582
171	1572	7567
172	1580	7554
173	1588	7540
174	1596	7527
175	1605	7514
176	1613	7502
177	1621	7488
178	1630	7479
179	1638	7465
180	1647	7452
181	1654	7438
182	1663	7428
183	1672	7415
184	1680	7403
185	1688	7390
186	1698	7382
187	1705	7367
188	1714	7356
189	1724	7351
190	1737	7358
191	1745	7346
192	1753	7333
193	1762	7320
194	1770	7309
195	1779	7299
196	1787	7285
197	1795	7273
198	1803	7260
199	1812	7248
200	1820	7238
201	1829	7228
202	1838	7219
203	1846	7205
204	1855	7194
205	1863	7180
206	1871	7170
207	1879	7157
208	1888	7146
209	1896	7135
210	1905	7123
211	1913	7111
212	1921	7099
213	1929	7087
214	1937	7075
215	1946	7064
216	1955	7054
217	1963	7042
218	1971	7032
219	1980	7023
220	1989	7012
221	1998	7002
222	2010	7004
223	2023	7011
224	2038	7022
225	2079	7120
226	2092	7124
227	2100	7113
228	2108	7099
229	2116	7087
230	2124	7073
231	2133	7064
232	2141	7050
233	2149	7036
234	2157	7021
235	2165	7011
236	2174	6999
237	2182	6987
238	2189	6972
239	2198	6962
240	2206	6949
241	2215	6939
242	2223	6925
243	2232	6916
244	2240	6904
245	2249	6893
246	2257	6880
247	2265	6868
248	2272	6855
249	2281	6843
250	2288	6830
251	2298	6822
252	2310	6823
253	2320	6815
254	2328	6803
255	2336	6790
256	2344	6778
257	2352	6765
258	2360	6754
259	2369	6743
260	2377	6730
261	2384	6717
262	2392	6705
263	2401	6693
264	2409	6681
265	2417	6669
266	2425	6657
267	2433	6646
268	2441	6635
269	2449	6623
270	2457	6611
271	2465	6599
