iter	F1	Logloss
0	0.7557309981	0.6514009256
1	0.7579942023	0.5989769802
2	0.7645979075	0.5516943792
3	0.7690462707	0.5137293158
4	0.7771469083	0.4793850523
5	0.7775793007	0.4547719587
6	0.7852648049	0.43124284
7	0.7920861607	0.4026649899
8	0.7947145313	0.3833826489
9	0.7975916492	0.3673118712
10	0.8010718091	0.3481989623
11	0.805433047	0.330846907
12	0.8107328527	0.3146096364
13	0.8119200728	0.3043834407
14	0.8064265881	0.2956463052
15	0.8043628143	0.2851135869
16	0.8114709112	0.2741492863
17	0.8094294773	0.2635709806
18	0.8142808954	0.2587016692
19	0.8136712901	0.2527676739
20	0.8169234369	0.2461208959
21	0.8175337995	0.2379894181
22	0.8150978049	0.2323372155
23	0.8175337995	0.2262198418
24	0.8169234369	0.2210239409
25	0.8245990915	0.2157490507
26	0.8276764897	0.2108977113
27	0.8258273006	0.208316666
28	0.8264427782	0.2034112507
29	0.8258273006	0.2002546546
30	0.8282947277	0.1970460819
31	0.8307769435	0.1948011471
32	0.8320236388	0.1915290743
33	0.8320236388	0.1885554623
34	0.8320236388	0.1857184303
35	0.8313998238	0.1829551127
36	0.8295339788	0.1811068186
37	0.8307769435	0.1797678165
38	0.8327402094	0.1778653399
39	0.8301549959	0.1751875881
40	0.8301549959	0.1734550484
41	0.8301549959	0.1722469697
42	0.8301549959	0.1706747175
43	0.8282947277	0.1690965738
44	0.8321194279	0.167192018
45	0.8416316073	0.1650373155
46	0.8428780498	0.1641615863
47	0.8428780498	0.1627382756
48	0.8435026565	0.1617088229
49	0.8441281896	0.1604560828
50	0.8441281896	0.158942377
51	0.8447546513	0.1577063699
52	0.8497809857	0.1564607628
53	0.8497809857	0.1557180957
54	0.8529052782	0.1548460569
55	0.8639700306	0.1535046607
56	0.8633391583	0.1526799018
57	0.8627092068	0.15174377
58	0.8663785985	0.1507004487
59	0.8670099977	0.1499253577
60	0.8663785985	0.1485221598
61	0.8663785985	0.1474904591
62	0.8760330585	0.1461556202
63	0.8766668674	0.1451540283
64	0.8796431696	0.1441818795
65	0.8861847928	0.1434085027
66	0.8868217914	0.1422115497
67	0.8887382939	0.1410978538
68	0.8923109801	0.1394892
69	0.8923109801	0.1385171619
70	0.8916698874	0.1377538717
71	0.8916698874	0.1368731703
72	0.8923109801	0.1362389047
73	0.8929529952	0.1356348064
74	0.8923109801	0.1350459979
75	0.8952275498	0.1343886261
76	0.8952275498	0.1335978418
77	0.8952275498	0.1329242938
78	0.8945860541	0.1319990979
79	0.8981288012	0.1312171754
80	0.8994153313	0.1306027258
81	0.9029471531	0.1294796574
82	0.9058192096	0.1286275001
83	0.9058192096	0.1280851907
84	0.9064655092	0.1267333035
85	0.9058192096	0.1260376579
86	0.9064655092	0.1253341557
87	0.9058192096	0.1243922752
88	0.9058192096	0.1235955579
89	0.9058192096	0.1228495888
90	0.9064655092	0.1221534792
91	0.9099704763	0.1215096296
92	0.9106189643	0.1208121029
93	0.9106189643	0.1205275255
94	0.9106189643	0.1199615918
95	0.9106189643	0.1193734545
96	0.91411187	0.1184247226
97	0.91411187	0.1174467606
98	0.91411187	0.1168410335
99	0.91411187	0.1165949588
100	0.91411187	0.1160637763
101	0.91411187	0.1157275728
102	0.91411187	0.1152654951
103	0.9175915247	0.1145851924
104	0.9169405486	0.1138644032
105	0.9169405486	0.1133396277
106	0.9169405486	0.112873564
107	0.9188962539	0.1122129472
108	0.9182434258	0.111423483
109	0.9182434258	0.1107046239
110	0.9188962539	0.1098766356
111	0.9188962539	0.109380474
112	0.9202046987	0.1086545616
113	0.9221743677	0.107815693
114	0.9215168752	0.1073097657
115	0.9221743677	0.1068772276
116	0.9221743677	0.106471337
117	0.9221743677	0.1060444145
118	0.9221743677	0.1056019714
119	0.9221743677	0.1055058256
120	0.9221743677	0.1049741155
121	0.9215168752	0.1044962297
122	0.9221743677	0.1041255206
123	0.9208603195	0.1033494518
124	0.9221743677	0.102567647
125	0.925649407	0.1017650303
126	0.9269696563	0.1013905778
127	0.9263090612	0.1010703343
128	0.9269696563	0.1006131234
129	0.9269696563	0.1001661402
130	0.9276311942	0.09987004136
131	0.9276311942	0.09940613271
132	0.9276311942	0.09897510168
133	0.9289571068	0.09861977284
134	0.9297721105	0.09827980963
135	0.9317603521	0.09772126747
136	0.9352138476	0.09722094295
137	0.9352138476	0.09697789629
138	0.9337571153	0.09630863121
139	0.9337571153	0.09603993421
140	0.9358796803	0.09558658726
141	0.9365464617	0.09532412777
142	0.9358796803	0.09510245903
143	0.939321252	0.09473651845
144	0.9399892138	0.09432540548
145	0.9413279916	0.09369074686
146	0.9406581264	0.09326401286
147	0.9406581264	0.09302453287
148	0.9426705883	0.0922720618
149	0.9426705883	0.0918494257
150	0.9426705883	0.0914152134
151	0.9433433239	0.09078783011
152	0.9433433239	0.09041633198
153	0.9433433239	0.08990019017
154	0.9433433239	0.08951370641
155	0.9433433239	0.08915098902
156	0.9433433239	0.08895007235
157	0.9433433239	0.08870127205
158	0.9433433239	0.08824262043
159	0.9440170204	0.08743399866
160	0.9440170204	0.08689806458
161	0.9440170204	0.08627498846
162	0.9446916798	0.08578006143
163	0.9502013246	0.0852982842
164	0.9474537123	0.08487331795
165	0.9502013246	0.08430498673
166	0.950877339	0.0838971774
