iter	Passed	Remaining
0	7	7149
1	10	5459
2	17	5723
3	23	5803
4	29	5909
5	36	6007
6	43	6134
7	49	6158
8	55	6118
9	61	6129
10	68	6140
11	74	6093
12	80	6124
13	86	6123
14	91	5993
15	97	6007
16	102	5901
17	105	5761
18	111	5774
19	117	5762
20	123	5776
21	130	5792
22	137	5821
23	144	5881
24	151	5907
25	162	6096
26	169	6099
27	175	6109
28	184	6165
29	192	6222
30	200	6271
31	210	6371
32	217	6363
33	224	6377
34	238	6568
35	252	6751
36	258	6740
37	265	6709
38	271	6693
39	277	6671
40	284	6647
41	290	6626
42	296	6597
43	302	6574
44	308	6554
45	315	6535
46	321	6519
47	327	6495
48	333	6468
49	339	6454
50	353	6569
51	360	6570
52	366	6551
53	372	6528
54	378	6505
55	385	6491
56	391	6478
57	394	6411
58	405	6466
59	417	6545
60	424	6531
61	430	6513
62	436	6495
63	440	6438
64	446	6429
65	452	6408
66	458	6388
67	465	6374
68	468	6322
69	481	6393
70	500	6544
71	507	6540
72	518	6578
73	561	7026
74	806	9941
75	815	9908
76	823	9874
77	836	9886
78	848	9893
79	859	9888
80	866	9831
81	880	9860
82	888	9812
83	897	9786
84	904	9740
85	917	9746
86	923	9693
87	931	9654
88	936	9581
89	944	9553
90	951	9502
91	957	9453
92	964	9402
93	970	9352
94	976	9305
95	983	9256
96	986	9185
97	995	9164
98	1001	9118
99	1009	9086
100	1020	9079
101	1029	9061
102	1036	9026
103	1040	8962
104	1047	8924
105	1053	8883
106	1060	8846
107	1066	8804
108	1073	8773
109	1079	8736
110	1085	8697
111	1092	8660
112	1098	8620
113	1104	8586
114	1111	8550
115	1115	8497
116	1122	8473
117	1128	8436
118	1135	8406
119	1141	8369
120	1147	8334
121	1154	8305
122	1160	8273
123	1166	8240
124	1173	8212
125	1179	8182
126	1186	8153
127	1192	8121
128	1198	8090
129	1204	8061
130	1207	8008
131	1213	7978
132	1219	7952
133	1226	7927
134	1232	7898
135	1238	7869
136	1245	7845
137	1251	7815
138	1256	7785
139	1263	7761
140	1269	7733
141	1276	7711
142	1282	7686
143	1288	7660
144	1292	7619
145	1297	7591
146	1303	7565
147	1310	7544
148	1316	7519
149	1323	7502
150	1330	7483
151	1336	7458
152	1343	7435
153	1349	7411
154	1355	7390
155	1361	7367
156	1368	7346
157	1379	7353
158	1391	7359
159	1397	7337
160	1404	7316
161	1413	7309
162	1416	7271
163	1423	7257
164	1426	7217
165	1432	7196
166	1440	7186
167	1446	7165
168	1451	7138
169	1458	7118
170	1463	7096
171	1470	7081
172	1477	7062
173	1484	7045
174	1489	7023
175	1495	7002
176	1502	6984
177	1508	6963
178	1515	6949
179	1521	6931
180	1528	6914
181	1534	6896
182	1540	6876
183	1546	6856
184	1552	6838
185	1558	6821
186	1563	6795
187	1569	6776
188	1574	6758
189	1581	6742
190	1587	6723
191	1593	6704
192	1599	6688
193	1605	6670
194	1612	6658
195	1619	6643
196	1625	6626
197	1632	6611
198	1637	6593
199	1644	6577
200	1650	6562
201	1657	6547
202	1664	6534
203	1670	6519
204	1677	6504
205	1683	6486
206	1689	6470
207	1695	6456
208	1701	6440
209	1708	6425
210	1714	6409
211	1720	6395
212	1727	6381
213	1733	6365
214	1738	6348
215	1745	6334
216	1752	6321
217	1758	6309
218	1777	6337
219	1790	6347
220	1797	6336
221	1803	6321
222	1810	6309
223	1817	6294
224	1858	6401
225	1912	6549
226	2057	7005
227	2064	6989
228	2088	7032
229	2162	7239
230	2176	7246
231	2190	7251
232	2202	7249
233	2213	7246
234	2225	7246
235	2234	7234
236	2243	7222
237	2256	7223
238	2265	7212
239	2272	7196
240	2278	7175
241	2284	7154
242	2290	7134
243	2296	7115
244	2303	7099
245	2309	7079
246	2315	7060
247	2323	7045
248	2329	7024
249	2335	7006
250	2341	6986
251	2347	6968
252	2360	6968
253	2370	6962
254	2376	6943
255	2383	6927
256	2389	6908
257	2395	6890
258	2402	6873
259	2408	6854
260	2416	6842
261	2422	6824
262	2428	6806
263	2438	6797
264	2444	6780
265	2453	6769
266	2480	6809
267	2486	6792
268	2492	6774
269	2499	6757
270	2505	6740
271	2513	6726
272	2519	6708
273	2525	6690
274	2531	6674
275	2537	6655
276	2543	6640
277	2549	6622
278	2555	6605
279	2563	6591
280	2569	6574
281	2576	6558
282	2582	6541
283	2588	6525
284	2594	6509
285	2600	6492
286	2607	6477
287	2613	6460
288	2619	6443
289	2625	6427
290	2631	6410
291	2637	6395
292	2644	6382
293	2651	6366
294	2657	6351
295	2663	6335
296	2669	6319
297	2676	6305
298	2686	6297
299	2697	6295
300	2711	6296
301	2725	6300
302	2737	6298
303	2745	6285
304	2753	6275
305	2763	6267
306	2770	6252
307	2776	6237
308	2782	6222
309	2789	6208
310	2795	6192
311	2803	6181
312	2809	6166
313	2815	6151
314	2822	6138
315	2828	6122
316	2835	6108
317	2840	6092
318	2846	6077
319	2854	6065
320	2860	6051
321	2867	6037
322	2873	6022
323	2879	6007
324	2885	5993
325	2891	5978
326	2898	5965
327	2905	5952
328	2911	5937
329	2917	5923
330	2923	5908
331	2933	5902
332	2939	5888
333	2948	5879
334	2954	5865
