iter	F1	Logloss
0	0.7865873706	0.6355965918
1	0.7984440136	0.5832907672
2	0.7850316272	0.5367338432
3	0.8093115035	0.4936898518
4	0.8045824724	0.4677508474
5	0.8081240417	0.4362048166
6	0.8066047849	0.4107203812
7	0.8039952265	0.3845349007
8	0.8089585182	0.3672763918
9	0.789869692	0.3515400268
10	0.8007813396	0.3327124652
11	0.7987223539	0.3194210732
12	0.8022597815	0.3073808046
13	0.8064265881	0.3005322476
14	0.805828682	0.2907615717
15	0.8025688023	0.2817615876
16	0.8025688023	0.2723184995
17	0.8025688023	0.2639867609
18	0.8055632847	0.2557066531
19	0.8055632847	0.2491540703
20	0.8058997293	0.2444047383
21	0.8097932978	0.2373728844
22	0.8110100447	0.23002335
23	0.8175337995	0.2231096229
24	0.8232224493	0.2188609841
25	0.8232224493	0.214022427
26	0.8244547308	0.2096546195
27	0.8212152151	0.206095456
28	0.8258273006	0.2030905653
29	0.8308806374	0.1988423568
30	0.8321194279	0.1955406697
31	0.8314995712	0.1915390922
32	0.8327402094	0.1894813998
33	0.8365513055	0.1868354208
34	0.8384240273	0.185591337
35	0.8415979884	0.1841965064
36	0.8409721636	0.18171855
37	0.851016645	0.178251974
38	0.8516452594	0.1762293736
39	0.8522748031	0.1742006881
40	0.8529052782	0.172615916
41	0.8485221682	0.1705267288
42	0.8491511104	0.1692568038
43	0.8497809857	0.1676906625
44	0.8535366868	0.1661944605
45	0.8572775601	0.1648531045
46	0.856012644	0.1631669941
47	0.8615449612	0.1617183145
48	0.8603692685	0.1602546934
49	0.8671382724	0.1593496642
50	0.8695448241	0.1579419211
51	0.8725705969	0.156551038
52	0.8725705969	0.1550155429
53	0.8732071247	0.1537389879
54	0.8828283342	0.1523557019
55	0.8870725699	0.1510568245
56	0.8864313973	0.1498829082
57	0.8893789702	0.1486929779
58	0.8900205708	0.147704441
59	0.8906630978	0.1467178346
60	0.8935959349	0.1453191648
61	0.9000599795	0.1441555898
62	0.8994153313	0.1431712738
63	0.8994153313	0.1418570385
64	0.9016580344	0.1408390332
65	0.8987716058	0.1395908533
66	0.8987716058	0.1387696864
67	0.8987716058	0.1381431338
68	0.8987716058	0.1371417443
69	0.8994153313	0.1363560758
70	0.8994153313	0.135131933
71	0.9007055525	0.1341504492
72	0.8994153313	0.1331560891
73	0.9000599795	0.1323238701
74	0.9000599795	0.1314848121
75	0.8994153313	0.1303912764
76	0.9013520522	0.129477384
77	0.9042399632	0.1289418534
78	0.9042399632	0.128337726
79	0.9019994807	0.1275497823
80	0.9048877575	0.1267390217
81	0.9077608791	0.1259230471
82	0.9077608791	0.1250530932
83	0.9084099534	0.1245321148
84	0.9084099534	0.1245092423
85	0.9106189643	0.1235860685
86	0.9106189643	0.1229082026
87	0.91411187	0.1222843571
88	0.9128133148	0.1215285312
89	0.9128133148	0.1210390511
90	0.9134621309	0.1196457883
91	0.9147625341	0.1189491017
92	0.9147625341	0.1184507588
93	0.9154141251	0.1170746348
94	0.9160666451	0.1164039696
95	0.9160666451	0.1158218854
96	0.9188962539	0.1153196037
97	0.9195500109	0.1144828797
98	0.9208603195	0.1139127823
99	0.9208603195	0.1130541327
100	0.9215168752	0.1119348969
101	0.9215168752	0.1111613291
102	0.9215168752	0.1102671973
103	0.9215168752	0.109930808
104	0.9215168752	0.1094025538
105	0.9215168752	0.1090114405
106	0.9221743677	0.1084233838
107	0.9221743677	0.1080004459
108	0.9215168752	0.1078114066
109	0.9215168752	0.1077430854
110	0.9221743677	0.1072539542
111	0.9221743677	0.1063348214
112	0.9221743677	0.1060634159
113	0.9221743677	0.1057272126
114	0.9221743677	0.1052413421
115	0.9221743677	0.1048593742
116	0.9249906917	0.1042265467
117	0.9236760695	0.1038637072
118	0.9243329131	0.1034647381
119	0.9243329131	0.1027271214
120	0.9271342835	0.102298632
121	0.927792336	0.1019717663
122	0.927792336	0.1017330256
123	0.927792336	0.1009701384
124	0.9312386629	0.10061198
125	0.9340115391	0.1001028919
126	0.9340115391	0.09976599997
127	0.9312386629	0.09953153181
128	0.9284513234	0.09927943204
129	0.9312386629	0.0987291288
130	0.9312386629	0.09830191938
131	0.9346719681	0.09789594832
132	0.9353333317	0.09740493521
133	0.9353333317	0.09705797735
134	0.9359956319	0.09641439662
135	0.9325599643	0.09572746587
136	0.9332220221	0.09536771099
137	0.9366588707	0.09491551304
138	0.9366588707	0.0944844855
139	0.9359956319	0.09402569126
140	0.9400827303	0.09315100648
141	0.9373230501	0.09279412482
142	0.9400827303	0.0925742126
143	0.9394183241	0.09231436133
144	0.940748077	0.09183821531
145	0.940748077	0.09138630962
146	0.9420815998	0.09089040232
147	0.9440889877	0.09045441652
148	0.9440889877	0.08993177228
149	0.9447600194	0.08948103572
150	0.9447600194	0.08903669159
151	0.9447600194	0.08855582416
152	0.9475068521	0.08836559746
153	0.94683562	0.08748268322
154	0.94683562	0.08697394641
155	0.94683562	0.08652779686
156	0.9475068521	0.0862045846
157	0.9475068521	0.08587533878
158	0.9475068521	0.0855380951
159	0.9502394217	0.08505377835
160	0.9502394217	0.08479720349
161	0.9502394217	0.08443119701
162	0.9502394217	0.08406662399
163	0.9475068521	0.08383153469
164	0.9502394217	0.08339927155
165	0.9509117933	0.08290100272
166	0.9509117933	0.08267268093
167	0.9543038845	0.08227543578
168	0.9576831982	0.08170618959
169	0.9583587605	0.08133535159
170	0.9583587605	0.0810784438
171	0.9576831982	0.08089998596
172	0.9583587605	0.08052634612
173	0.9590352766	0.0799766363
174	0.9650815293	0.07945426334
175	0.9650815293	0.07920621462
176	0.9624040837	0.07895333508
177	0.9650815293	0.07861081658
178	0.9657602309	0.07834590752
179	0.9657602309	0.0781119335
180	0.9664398878	0.07773062901
181	0.9664398878	0.07749545892
182	0.9678020755	0.07710905107
183	0.9684846103	0.07675842312
184	0.9678020755	0.07652763723
185	0.9678020755	0.0761982317
186	0.9678020755	0.07593090879
187	0.9678020755	0.07573598882
188	0.9678020755	0.07548920315
189	0.9684846103	0.07497889959
190	0.9684846103	0.07450193477
191	0.9684846103	0.07421881278
192	0.9684846103	0.07400434355
193	0.9684846103	0.07373117255
194	0.9684846103	0.07335862304
195	0.9684846103	0.0730543064
196	0.9698525722	0.07270298917
197	0.9698525722	0.07238441383
198	0.9705380034	0.07211714664
199	0.9705380034	0.07180910605
200	0.9745765386	0.07131029177
201	0.9745765386	0.07092625106
202	0.9745765386	0.0705026596
203	0.9745765386	0.07026958281
204	0.9745765386	0.06992198989
205	0.9745765386	0.0696849332
206	0.9745765386	0.06922288249
207	0.9752649815	0.06889848986
208	0.9752649815	0.06844190257
209	0.9752649815	0.06818302924
210	0.9752649815	0.06787507607
211	0.9745765386	0.06753197928
212	0.9745765386	0.0670789365
213	0.9752649815	0.06684674903
214	0.9752649815	0.06645491962
215	0.9759543977	0.06613076339
216	0.9759543977	0.06573835373
217	0.9759543977	0.06541092603
218	0.9773361583	0.06508440153
219	0.9766447892	0.06459305863
220	0.9766447892	0.06430874378
